"productId","productName","brand","manufacturer","manufacturerRefs","sourceUrl","priority","currentMediaStatus","rightsStatus","status","acceptanceRule"
"public-2f03f1b10e28c119f072ca9d","Клей ортодонтический световой 3 шприца протравка,бонд 8 мл","","","","https://a4d.kz/content/kley-ortodonticheskiy-svetovoy-3-shprica-protravkabond-8-ml","P0_COMMERCIAL","MISSING","NOT_CHECKED","NEEDS_OFFICIAL_PRODUCT_PHOTO","Точная модель/семейство, без логотипа-заглушки, источник и права зафиксированы"
"public-2a698a4b294bf3d3bd9003b0","Клей ортодонтический Blue glue","","","","https://a4d.kz/content/kley-ortodonticheskiy-blue-glue","P0_COMMERCIAL","MISSING","NOT_CHECKED","NEEDS_OFFICIAL_PRODUCT_PHOTO","Точная модель/семейство, без логотипа-заглушки, источник и права зафиксированы"
"public-9dafbbcbaac081b248998886","Клин-стенд","","","","https://a4d.kz/content/klin-stend","P0_COMMERCIAL","MISSING","NOT_CHECKED","NEEDS_OFFICIAL_PRODUCT_PHOTO","Точная модель/семейство, без логотипа-заглушки, источник и права зафиксированы"
"public-1cf301907cfb92ffa084da7c","Клин-стенд для очистки и временного хранения использованных файлов","","","","https://a4d.kz/content/klin-stend-dlya-ochistki-i-vremennogo-hraneniya-ispolzovannyh-faylov","P0_COMMERCIAL","MISSING","NOT_CHECKED","NEEDS_OFFICIAL_PRODUCT_PHOTO","Точная модель/семейство, без логотипа-заглушки, источник и права зафиксированы"
"public-bc548e745fd092b0475543d2","Клин-стенд малый","","","","https://a4d.kz/content/klin-stend-malyy","P0_COMMERCIAL","MISSING","NOT_CHECKED","NEEDS_OFFICIAL_PRODUCT_PHOTO","Точная модель/семейство, без логотипа-заглушки, источник и права зафиксированы"
"public-e8bcd9b68c1891d28af1c826","Клин-стенд Premium автоклавируемые","","","","https://a4d.kz/content/klin-stend-premium-avtoklaviruemye","P0_COMMERCIAL","MISSING","NOT_CHECKED","NEEDS_OFFICIAL_PRODUCT_PHOTO","Точная модель/семейство, без логотипа-заглушки, источник и права зафиксированы"
"public-70e31b184122454cfd26d604","Клинья стоматологические","Interdent","Interdent","","https://nordstom.kz/","P0_COMMERCIAL","MISSING","NOT_CHECKED","NEEDS_OFFICIAL_PRODUCT_PHOTO","Точная модель/семейство, без логотипа-заглушки, источник и права зафиксированы"
"public-23ce5ba1efc9327151141ae7","Ключ для винтов","","","","https://a4d.kz/content/klyuch-dlya-vintov-0","P0_COMMERCIAL","MISSING","NOT_CHECKED","NEEDS_OFFICIAL_PRODUCT_PHOTO","Точная модель/семейство, без логотипа-заглушки, источник и права зафиксированы"
"public-36be62a98b5c566934b89534","Ключ к насадкам EMS , SIRONA,NSK, AMDENT","","","","https://a4d.kz/content/klyuch-k-nasadkam-ems-sironansk-amdent","P0_COMMERCIAL","MISSING","NOT_CHECKED","NEEDS_OFFICIAL_PRODUCT_PHOTO","Точная модель/семейство, без логотипа-заглушки, источник и права зафиксированы"
"public-d7680080d1ed71c40ac93cbd","Ключ к насадкам U-file","","","","https://a4d.kz/content/klyuch-k-nasadkam-u-file-0","P0_COMMERCIAL","MISSING","NOT_CHECKED","NEEDS_OFFICIAL_PRODUCT_PHOTO","Точная модель/семейство, без логотипа-заглушки, источник и права зафиксированы"
