source,brand,name,productId,manufacturerRefs,variantCount,imageCount,marketEvidence,readiness,sourcePageUrl,sourceFile
NORD STOM KZ,One drop only,Ёршики для чистки межзубных промежутков,517,,1,1,EXACT_KZ_LISTING,MANUFACTURER_REFERENCE_REQUIRED,https://nordstom.kz/catalog/oral-hygiene-products/dental-floss/item-517,nordstom-full-catalog.json
NORD STOM KZ,One drop only,Зубная паста Halazon Multiactive Fresh,522,,1,1,EXACT_KZ_LISTING,MANUFACTURER_REFERENCE_REQUIRED,https://nordstom.kz/catalog/oral-hygiene-products/toothpastes/item-522,nordstom-full-catalog.json
NORD STOM KZ,One drop only,Зубная паста Halazon Multiactive Med,523,,1,1,EXACT_KZ_LISTING,MANUFACTURER_REFERENCE_REQUIRED,https://nordstom.kz/catalog/oral-hygiene-products/toothpastes/item-523,nordstom-full-catalog.json
NORD STOM KZ,One drop only,Зубная паста Halazon Multiactive White,524,,1,1,EXACT_KZ_LISTING,MANUFACTURER_REFERENCE_REQUIRED,https://nordstom.kz/catalog/oral-hygiene-products/toothpastes/item-524,nordstom-full-catalog.json
NORD STOM KZ,One drop only,Ёршики для чистки межзубных промежутков S (5 мм),525,,1,1,EXACT_KZ_LISTING,MANUFACTURER_REFERENCE_REQUIRED,https://nordstom.kz/catalog/oral-hygiene-products/dental-floss/item-525,nordstom-full-catalog.json
NORD STOM KZ,One drop only,Ёршики для чистки межзубных промежутков M (6 мм),526,,1,1,EXACT_KZ_LISTING,MANUFACTURER_REFERENCE_REQUIRED,https://nordstom.kz/catalog/oral-hygiene-products/dental-floss/item-526,nordstom-full-catalog.json
NORD STOM KZ,One drop only,Щётка-скребок для чистки языка,527,,1,1,EXACT_KZ_LISTING,MANUFACTURER_REFERENCE_REQUIRED,https://nordstom.kz/catalog/oral-hygiene-products/dental-floss/item-527,nordstom-full-catalog.json
NORD STOM KZ,One drop only,Зубные щетки One Drop Only средней жесткости,529,,1,1,EXACT_KZ_LISTING,MANUFACTURER_REFERENCE_REQUIRED,https://nordstom.kz/catalog/oral-hygiene-products/toothbrushes/item-529,nordstom-full-catalog.json
NORD STOM KZ,ORMCO,Набор брекетов Damon Clear2 ВЧ 5+5,15,,1,1,EXACT_KZ_LISTING,MANUFACTURER_REFERENCE_REQUIRED,https://nordstom.kz/catalog/orthodontia/braces/item-15,nordstom-full-catalog.json
NORD STOM KZ,ORMCO,Эластики,20,,1,1,EXACT_KZ_LISTING,MANUFACTURER_REFERENCE_REQUIRED,https://nordstom.kz/catalog/orthodontia/elastic-rings-tags-chains/item-20,nordstom-full-catalog.json
NORD STOM KZ,ORMCO,Набор брекетов Damon Q2 ВЧ 5+5 стандарт,54,,1,1,EXACT_KZ_LISTING,MANUFACTURER_REFERENCE_REQUIRED,https://nordstom.kz/catalog/orthodontia/braces/item-54,nordstom-full-catalog.json
NORD STOM KZ,ORMCO,Набор брекетов Damon Q2 НЧ 5+5 стандарт,55,,1,1,EXACT_KZ_LISTING,MANUFACTURER_REFERENCE_REQUIRED,https://nordstom.kz/catalog/orthodontia/braces/item-55,nordstom-full-catalog.json
